returns(rp=0.005000,variance(rp=0.005000,returns(rp=0.010000,variance(rp=0.010000,returns(rp=0.015000,variance(rp=0.015000,returns(rp=0.020000,variance(rp=0.020000,returns(rp=0.025000,variance(rp=0.025000,returns(rp=0.030000,variance(rp=0.030000,returns(rp=0.035000,variance(rp=0.035000,returns(rp=0.040000,variance(rp=0.040000,returns(rp=0.045000,variance(rp=0.045000,returns(rp=0.050000,variance(rp=0.050000,returns(rp=0.055000,variance(rp=0.055000,returns(rp=0.060000,variance(rp=0.060000,returns(rp=0.065000,variance(rp=0.065000,returns(rp=0.070000,variance(rp=0.070000,returns(rp=0.075000,variance(rp=0.075000,returns(rp=0.080000,variance(rp=0.080000,returns(rp=0.085000,variance(rp=0.085000,returns(rp=0.090000,variance(rp=0.090000,returns(rp=0.095000,variance(rp=0.095000,returns(rp=0.100000,variance(rp=0.100000
-0.0449299,0.00112883,-0.0326012,0.00185337,-0.0202725,0.00346138,-0.00794378,0.00595285,0.00438492,0.00932778,0.0167136,0.0135862,0.0290423,0.018728,0.041371,0.0247533,0.0536997,0.0316621,0.0660285,0.0394544,0.0783572,0.0481301,0.0906859,0.0576892,0.103015,0.0681318,0.115343,0.0794579,0.127672,0.0916675,0.140001,0.10476,0.152329,0.118737,0.164658,0.133597,0.176987,0.14934,0.189316,0.165967,
-0.00167125,0.00108328,-0.0040443,0.00198026,-0.00641735,0.00279764,-0.0087904,0.0035354,-0.0111635,0.00419355,-0.0135365,0.00477209,-0.0159095,0.00527102,-0.0182826,0.00569034,-0.0206556,0.00603005,-0.0230287,0.00629015,-0.0254017,0.00647064,-0.0277748,0.00657152,-0.0301478,0.00659279,-0.0325209,0.00653445,-0.0348939,0.00639649,-0.037267,0.00617893,-0.03964,0.00588176,-0.0420131,0.00550497,-0.0443861,0.00504858,-0.0467592,0.00451257,
-0.00245562,0.000623381,-0.0145735,0.00115031,-0.0266914,0.00172981,-0.0388093,0.00236188,-0.0509272,0.00304652,-0.0630451,0.00378373,-0.075163,0.0045735,-0.087281,0.00541585,-0.0993989,0.00631077,-0.111517,0.00725825,-0.123635,0.0082583,-0.135753,0.00931093,-0.14787,0.0104161,-0.159988,0.0115739,-0.172106,0.0127842,-0.184224,0.0140471,-0.196342,0.0153626,-0.20846,0.0167306,-0.220578,0.0181512,-0.232696,0.0196244,
-0.00262753,0.000760149,-0.00524023,0.00119405,-0.00785293,0.00170535,-0.0104656,0.00229403,-0.0130783,0.00296011,-0.015691,0.00370357,-0.0183037,0.00452442,-0.0209164,0.00542267,-0.0235291,0.0063983,-0.0261418,0.00745133,-0.0287545,0.00858174,-0.0313672,0.00978954,-0.0339799,0.0110747,-0.0365926,0.0124373,-0.0392053,0.0138773,-0.041818,0.0153947,-0.0444307,0.0169894,-0.0470434,0.0186615,-0.0496561,0.0204111,-0.0522688,0.022238,
-0.00418596,0.000599849,-0.00409521,0.000675482,-0.00400446,0.000662474,-0.0039137,0.000560825,-0.00382295,0.000370537,-0.0037322,9.16086e-05,-0.00364145,-0.00027596,-0.0035507,-0.000732169,-0.00345994,-0.00127702,-0.00336919,-0.00191051,-0.00327844,-0.00263264,-0.00318769,-0.00344341,-0.00309693,-0.00434282,-0.00300618,-0.00533087,-0.00291543,-0.00640756,-0.00282468,-0.00757289,-0.00273393,-0.00882686,-0.00264317,-0.0101695,-0.00255242,-0.0116007,-0.00246167,-0.0131206,
0.00181245,0.00110249,0.00270072,0.00166073,0.00358898,0.00232796,0.00447725,0.00310419,0.00536552,0.0039894,0.00625378,0.00498361,0.00714205,0.00608681,0.00803032,0.00729899,0.00891858,0.00862017,0.00980685,0.0100503,0.0106951,0.0115895,0.0115834,0.0132376,0.0124716,0.0149948,0.0133599,0.0168609,0.0142482,0.018836,0.0151365,0.0209201,0.0160247,0.0231132,0.016913,0.0254153,0.0178013,0.0278264,0.0186895,0.0303465,
-0.00547564,0.000400331,-0.00950106,0.000770168,-0.0135265,0.00136319,-0.0175519,0.00217939,-0.0215773,0.00321877,-0.0256027,0.00448133,-0.0296282,0.00596707,-0.0336536,0.007676,-0.037679,0.00960811,-0.0417044,0.0117634,-0.0457299,0.0141419,-0.0497553,0.0167435,-0.0537807,0.0195684,-0.0578061,0.0226164,-0.0618315,0.0258876,-0.065857,0.0293819,-0.0698824,0.0330995,-0.0739078,0.0370402,-0.0779332,0.0412042,-0.0819587,0.0455913,
-0.010827,0.000243661,-0.0155881,0.000206631,-0.0203492,0.000179135,-0.0251103,0.000161173,-0.0298714,0.000152745,-0.0346325,0.00015385,-0.0393937,0.00016449,-0.0441548,0.000184663,-0.0489159,0.000214369,-0.053677,0.00025361,-0.0584381,0.000302384,-0.0631992,0.000360692,-0.0679603,0.000428534,-0.0727214,0.00050591,-0.0774826,0.000592819,-0.0822437,0.000689262,-0.0870048,0.000795239,-0.0917659,0.00091075,-0.096527,0.00103579,-0.101288,0.00117037,
0.00138271,0.000318902,0.00221448,0.000277811,0.00304625,0.000262906,0.00387801,0.000274186,0.00470978,0.000311653,0.00554155,0.000375306,0.00637332,0.000465144,0.00720508,0.000581168,0.00803685,0.000723379,0.00886862,0.000891775,0.00970038,0.00108636,0.0105322,0.00130713,0.0113639,0.00155408,0.0121957,0.00182722,0.0130275,0.00212654,0.0138592,0.00245206,0.014691,0.00280375,0.0155228,0.00318164,0.0163545,0.00358571,0.0171863,0.00401596,
0.00164901,-0.000238297,-0.00420831,-0.000491912,-0.0100656,-0.000775616,-0.015923,-0.00108941,-0.0217803,-0.00143329,-0.0276376,-0.00180726,-0.0334949,-0.00221132,-0.0393522,-0.00264546,-0.0452096,-0.0031097,-0.0510669,-0.00360402,-0.0569242,-0.00412843,-0.0627815,-0.00468293,-0.0686388,-0.00526752,-0.0744962,-0.0058822,-0.0803535,-0.00652696,-0.0862108,-0.00720182,-0.0920681,-0.00790676,-0.0979254,-0.00864179,-0.103783,-0.00940691,-0.10964,-0.0102021,
